At: 2025-04-05 16:11:58, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/nmVajCmmTsk) 

At: 2025-04-05 16:12:00, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/nmVajCmmTsk) 

At: 2025-04-05 16:12:01, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/nmVajCmmTsk) 

At: 2025-04-05 16:12:46, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:12:53, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:12:54, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:13:10, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:13:20, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:16:36, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:16:38, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-05 16:16:39, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/R0Wuw-USoPo) 

At: 2025-04-08 14:51:34, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-08 14:51:46, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-08 14:54:28, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-08 14:54:37, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-08 14:54:49, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-08 14:54:57, Device Type: smartphone, OS: Android 6.0, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/e8MI-csSr5I) 

At: 2025-04-11 16:45:56, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/_vj4DkHqAkE) 

At: 2025-04-11 16:46:07, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/_vj4DkHqAkE) 

At: 2025-04-11 18:26:43, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/Tz4RNuSXE7k) 

At: 2025-04-11 18:26:52, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/Tz4RNuSXE7k) 

At: 2025-04-11 18:27:38, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtu.be/Tz4RNuSXE7k) 

At: 2025-04-11 18:27:48, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtu.be/Tz4RNuSXE7k) 

